Name,Price,Currency,SKU,Scrape date,Category,Raw text,Image Urls,Link
New Currency Overprints,22.00,USD,100735,2019-06-28,"Africa, Basutoland, Stamps","
1961-63 New Currency Overprints. SG 58/68. Mint Hinged
",https://kentonphilatelics.com/wp-content/uploads/1970/01/11.png,https://kentonphilatelics.com/product/new-currency-overprints/
Gold Coast Coronation,5.50,USD,100452,2019-06-28,"1937 Coronation, Gold Coast, Stamps","
1937 Coronation. SG 117/9. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/1970/01/31-1.png,https://kentonphilatelics.com/product/gold-coast-coronation/
Gold Coast Silver Wedding,16.00,USD,100410,2019-06-28,"Gold Coast, Royal Silver Wedding, Stamps","
1948 Royal Silver Wedding. SG 147/8. Mint Hinged
",https://kentonphilatelics.com/wp-content/uploads/1970/01/21-1.png,https://kentonphilatelics.com/product/gold-coast-silver-wedding/
King George VI Definitives,35.00,USD,100706,2019-06-28,"Gold Coast, Stamps","
1948 King George VI Definitives. SG 135/46. Used
",https://kentonphilatelics.com/wp-content/uploads/1970/01/41-1.png,https://kentonphilatelics.com/product/king-george-vi-definitives-17/
"Kenya, Uganda & Tanganyika Silver Wedding",40.00,USD,100415,2019-06-28,"Kenya, Uganda & Tanganyika, Royal Silver Wedding, Stamps","
1948 Royal Silver Wedding. SG 157/8. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/1970/01/71-1.png,https://kentonphilatelics.com/product/kenya-uganda-tanganyika-silver-wedding/
Birds,35.00,USD,100625,2019-06-28,"Mauritius, Stamps","
1965 Birds. SG 317/31. Mint Hinged
",https://kentonphilatelics.com/wp-content/uploads/1970/01/61-1.png,https://kentonphilatelics.com/product/birds/
Mauritius 10r Silver Wedding,12.00,USD,100418,2019-06-28,"Mauritius, Royal Silver Wedding, Stamps","
1948 10r Royal Silver Wedding. SG 271. Mint Unhinged. Margin copy with Plate number in margin
",https://kentonphilatelics.com/wp-content/uploads/1970/01/51.png,https://kentonphilatelics.com/product/mauritius-10r-silver-wedding/
Nigeria Coronation,5.00,USD,100461,2019-06-28,"1937 Coronation, Nigeria, Stamps","
1937 Coronation. SG 46/8. Mint Unhinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/51.png,https://kentonphilatelics.com/product/nigeria-coronation/
Nigeria Silver Wedding,8.00,USD,100419,2019-06-28,"Nigeria, Royal Silver Wedding, Stamps","
1948 Royal Silver Wedding. SG 62/3. Mint Hinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/61.png,https://kentonphilatelics.com/product/nigeria-silver-wedding/
King George VI Definitives,65.00,USD,100587,2019-06-28,"Rhodesia, Stamps","
1937 King George VI Definitives. SG 40/52. Mint Hinged
",https://kentonphilatelics.com/wp-content/uploads/2019/01/41.png,https://kentonphilatelics.com/product/king-george-vi-definitives-8/
